2004,12,ZAMORA,,LAS AMERICAS,,355
2004,13,MORELIA,JESUS DEL MONTE ,RESIDENCIAL COTO DEL ANGEL,,502
2004,14,JOSE SIXTOS VERDUZCO ,SAN MARTIN ,LA SAUCEDA ,,47
2004,15,MORELIA,,AMPLIACION CLUB CAMPESTRE LA HUERTA,,770
2004,16,MORELIA,,CONJUNTO HABITACIONAL QUINCEO ,,209
2004,17,ZAMORA,,RESIDENCIAL LAS AMERICAS                 El presente acuerdo sustituye al nÑ 12 de fecha 16 de julio del aÑo en curso ,PARA LA AV. MEXICO Y CALLE ARGENTINA ,859
2005,17,ZAMORA,,RESIDENCIAL LAS AMERICAS                 El presente acuerdo sustituye al nÑ 12 de fecha 16 de julio del aÑo en curso ,PARA LA AV. AMERICAS ,831
2006,17,ZAMORA,,RESIDENCIAL LAS AMERICAS                 El presente acuerdo sustituye al nÑ 12 de fecha 16 de julio del aÑo en curso ,PARA EL RESTO DE LAS CALLES,737
2004,18,SAHUAYO,,EL MOLINO,UBICADO EN EL CAMINO VECINAL AL RINCON DE SAN ANDRES ,61
2004,19,SAHUAYO,,EL MOLINO,UBICADO EN EL CAMINO VECINAL AL RINCON DE SAN ANDRES                                                                                 El presente acuerdo sustituye el nÑ 18 de fecha 9 de septiembre del aÑo en curso ,9
2004,20,TARIMBARO ,COTZIO,EL CERRITO DE COTZIO,,61
2004,21,SAHUAYO,,BARRANQUILLA,,61
2004,22,MORELIA,,CAMPO DE TIRO RAMON PALOMARES A. ,,61
2004,23,MORELIA ,SAN MIGUEL DEL MONTE ,ZONAS 3 4 Y 5 DESINCORPORADAS POR EL REGISTRO AGRARIO NACIONAL DEL REGIMEN EJIDAL,PARA TODAS LAS CALLES ,115
2005,23,MORELIA ,SAN MIGUEL DEL MONTE ,ZONAS 3 4 Y 5 DESINCORPORADAS POR EL REGISTRO AGRARIO NACIONAL DEL REGIMEN EJIDAL,PARA EL BORDE DE CARRETERA,181
2004,24,MORELIA,EL CORREO,EL TOCUSAL ,PARA TODAS LAS CALLES ,33
2004,25,CIUDAD HIDALGO ,,LOMA DE ENMEDIO,VALOR MINIMO DE CALLES,147
2005,26,CIUDAD HIDALGO ,,LOMA DE ENMEDIO,VALOR MAXIMO DE CALLES,214
2004,26,MORELIA,,YUNUEN ,,649
2004,28,MORELIA,,HACIENDA DE LA MINA ,,61
2004,29,MORELIA,,TRES MARIAS     En la modalidad de fto. tipo residencial bajo regimen de propiedad en condominio e instalaciones deportivas,QUEDA SI EFECTO POR SUSTITUCION DE ACUERDO No. 04/2005,711
2004,30,MORELIA,,FRACCION PREDIO TRES PUENTES AL COSTADO PONIENTE DE LA VIA DEL FFCC Y DEL RIO CHIQUITO Y EN LAS INMEDIACIONES DE LA COL. ADOLFO LOPEZ MATEOS,,89
2004,31,ZACAPU,,RANCHO LAS CANOAS,PARA TODAS LAS CALLES ,9
2004,32,MORELIA,JESUS DEL MONTE ,MONTAÑA MONARCA ,,831
2004,33,MORELIA,JESUS DEL MONTE ,MONTAÑA MONARCA PREDIO H-5 ,,831
2004,34,MORELIA,,CONJUNTO HABITACIONAL EL BOSQUE ,,181
2004,35,MORELIA,,CONJUNTO HABITACIONAL LA HACIENDA ,,346
2004,36,TARIMBARO,,CONJUNTO HABITACIONAL CAMPESTRE TARIMBARO ,,147
